CISP,AISP,ano,mcirc,ocorrencias,qtde
9,2,2021,3304557,roubo_cx_eletronico,2
9,2,2021,3304557,roubo_em_coletivo,155
9,2,2021,3304557,roubo_residencia,14
9,2,2021,3304557,roubo_rua,1211
9,2,2021,3304557,roubo_veiculo,163
9,2,2021,3304557,sequestro,0
9,2,2021,3304557,sequestro_relampago,2
9,2,2021,3304557,trafico_drogas,20
9,2,2022,3304557,aaapai,24
9,2,2022,3304557,ameaca,162
9,2,2022,3304557,apf,145
9,2,2022,3304557,apreensao_drogas,104
9,2,2022,3304557,apreensao_drogas_sem_autor,3
9,2,2022,3304557,cmba,3
9,2,2022,3304557,cmp,23
9,2,2022,3304557,cvli,4
9,2,2022,3304557,encontro_cadaver,3
9,2,2022,3304557,encontro_ossada,0
9,2,2022,3304557,estelionato,1416
9,2,2022,3304557,estupro,6
9,2,2022,3304557,extorsao,6
9,2,2022,3304557,furto_bicicleta,90
9,2,2022,3304557,furto_celular,636
9,2,2022,3304557,furto_coletivo,63
9,2,2022,3304557,furto_transeunte,275
9,2,2022,3304557,furto_veiculos,131
9,2,2022,3304557,hom_culposo,2
9,2,2022,3304557,hom_doloso,2
9,2,2022,3304557,hom_por_interv_policial,1
9,2,2022,3304557,latrocinio,2
9,2,2022,3304557,lesao_corp_culposa,72
9,2,2022,3304557,lesao_corp_dolosa,192
9,2,2022,3304557,lesao_corp_morte,0
9,2,2022,3304557,letalidade_violenta,5
9,2,2022,3304557,pessoas_desaparecidas,15
9,2,2022,3304557,pol_civis_mortos_serv,0
9,2,2022,3304557,pol_militares_mortos_serv,0
9,2,2022,3304557,posse_drogas,90
9,2,2022,3304557,recuperacao_veiculos,25
9,2,2022,3304557,roubo_apos_saque,2
9,2,2022,3304557,roubo_banco,0
9,2,2022,3304557,roubo_bicicleta,19
9,2,2022,3304557,roubo_carga,6
9,2,2022,3304557,roubo_celular,209
9,2,2022,3304557,roubo_comercio,24
9,2,2022,3304557,roubo_conducao_saque,1
9,2,2022,3304557,roubo_cx_eletronico,0
9,2,2022,3304557,roubo_em_coletivo,80
9,2,2022,3304557,roubo_residencia,8
9,2,2022,3304557,roubo_rua,731
